epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,71.3442,1.11511,4.90762,1.58945,0.00181,0.01667,0.00079,0.0002,2.78879,6.04568,2.68739,2.82082e-05,2.82082e-05,2.82082e-05
40,73.0942,1.32392,5.3114,1.71335,0.00181,0.01667,0.00079,0.0002,2.78879,6.04568,2.68739,2.84911e-05,2.84911e-05,2.84911e-05
41,75.0066,1.22773,5.04336,1.8004,0.00183,0.01667,0.00083,0.00021,2.77507,6.08392,2.68413,2.87504e-05,2.87504e-05,2.87504e-05
42,76.853,1.33715,4.92308,1.94001,0.00183,0.01667,0.00083,0.00021,2.77507,6.08392,2.68413,2.89861e-05,2.89861e-05,2.89861e-05
43,78.8003,0.96771,5.13565,1.57395,0.00189,0.01667,0.00083,0.00021,2.71967,6.12463,2.69432,2.91983e-05,2.91983e-05,2.91983e-05
44,80.6302,1.36987,4.93023,1.85794,0.00189,0.01667,0.00083,0.00021,2.71967,6.12463,2.69432,2.93869e-05,2.93869e-05,2.93869e-05
45,82.5667,1.02139,4.83381,1.58582,0.00189,0.01667,0.00075,0.0002,2.66696,6.13904,2.67843,2.9552e-05,2.9552e-05,2.9552e-05
46,84.4016,1.18182,4.91347,1.83983,0.00189,0.01667,0.00075,0.0002,2.66696,6.13904,2.67843,2.96935e-05,2.96935e-05,2.96935e-05
47,86.2958,1.19668,4.95177,1.70489,0.00192,0.01667,0.00083,0.00022,2.65782,6.13488,2.71114,2.98114e-05,2.98114e-05,2.98114e-05
48,88.0573,1.14959,4.81644,1.67351,0.00192,0.01667,0.00083,0.00022,2.65782,6.13488,2.71114,2.99058e-05,2.99058e-05,2.99058e-05
49,89.8772,1.35383,4.78803,1.86666,0.00201,0.01667,0.00088,0.00028,2.62694,6.12287,2.72984,2.99766e-05,2.99766e-05,2.99766e-05
50,91.6896,1.29591,4.72819,1.75799,0.00201,0.01667,0.00088,0.00028,2.62694,6.12287,2.72984,3.00238e-05,3.00238e-05,3.00238e-05
51,93.5709,1.07785,4.77315,1.62407,0.00201,0.01667,0.00079,0.00026,2.65871,6.13025,2.76014,3.00475e-05,3.00475e-05,3.00475e-05
52,95.3784,1.27874,4.76935,1.81526,0.00201,0.01667,0.00079,0.00026,2.65871,6.13025,2.76014,3.00476e-05,3.00476e-05,3.00476e-05
53,97.1951,0.91505,4.87931,1.45931,0.00201,0.01667,0.00079,0.00026,2.65871,6.13025,2.76014,3.00242e-05,3.00242e-05,3.00242e-05
