epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,48633.5,0.75846,0.68408,1.13621,0.91424,0.83187,0.89631,0.78293,0.54107,0.51142,0.95898,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,50207.8,0.76006,0.6806,1.13677,0.90757,0.83691,0.90012,0.789,0.52993,0.50718,0.959,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,51827.9,0.75132,0.67746,1.13167,0.89897,0.83796,0.89735,0.78137,0.54769,0.51718,0.96343,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,53457.3,0.74506,0.67929,1.13557,0.91066,0.83331,0.90168,0.79375,0.51782,0.49935,0.95218,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,55049.3,0.74142,0.66924,1.13314,0.91018,0.83019,0.89881,0.79463,0.50665,0.49541,0.95411,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,56669.6,0.73062,0.66214,1.12755,0.90974,0.82952,0.90062,0.79801,0.49732,0.49721,0.94256,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,58269.5,0.72981,0.65887,1.12391,0.90743,0.83348,0.90045,0.79884,0.49024,0.48213,0.94407,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,59873.2,0.72124,0.65155,1.11334,0.91559,0.8347,0.90093,0.79973,0.49617,0.4836,0.94075,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,61470.1,0.72463,0.65039,1.11519,0.91061,0.8356,0.90057,0.80034,0.48596,0.47695,0.93553,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,63092.7,0.70862,0.6365,1.10942,0.91953,0.83182,0.89882,0.80123,0.48619,0.47431,0.93777,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,64693.6,0.70466,0.63264,1.10456,0.91577,0.83799,0.90082,0.80404,0.48037,0.47735,0.93576,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
